Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_txt,job_state,is_hq,Age,excel,SQL,python,tableau
Business Analyst,$39K-$77K (Glassdoor est.),"Are you ready to be part of a mission that is impacting more than the bottom line? Are you a Business Analyst who loves solving problems and managing implementation of scalable solutions? Are you capable of balancing multiple projects? If so, keep on reading!

What We Do

Pushpay exists to bring people together by strengthening community, connection, and belonging. As the leading provider of mobile apps and giving technology to churches, schools, and nonprofits, Pushpay helps organizations and their communities stay connected anytime, anywhere.

We recently announced the exciting news of Pushpay and Church Community Builder merging together to deliver a best-in-class fully integrated church management system (ChMS), custom community app, and giving solutions for organizations in the faith sector. The combination of our two companies gives us complimentary world class solutions for our customers and aligns strongly with Pushpay's core strategy of providing innovative, market-leading solutions for customers.

Who We Are As A Company

We have over 400 employees between Redmond, Colorado Springs, and Auckland, NZ (where we were founded). As we scale, it's important that we hire to our growth culture values of People Come First, Innovation, Excellence, Simplicity and Generosity. These growth values reflect who we are as a company and how we serve our customers, employees and stakeholders.

What You Will Do

The primary concern of someone performing this role is to unpack the problem, discover and document the requirements, and work to support the rapid, agile and continuous delivery of improvements to Pushpay business systems.

Key areas of responsibility
As a Business Analyst on our Technical Operations team, you will play a critical role in articulating existing internal business processes and their gaps, gathering and documenting business requirements, facilitating project conversations with stakeholders, and aligning solution design and build to documented requirements. You will collaborate with project managers to describe and monitor project dependencies, risks, and their mitigations.
Assist in re-engineering business and system processes, taking into account current state, desired future state, and exception-handling
Define business and functional requirements, collaborate with technical resources to ensure technical designs and configuration aligns with requirements
Continuously deliver against agile sprints and business-critical priorities
Act as an advocate to ensure overall system usability and adoption
Facilitate meetings and gather requirements across all departments through all project phases
Participate in and/or lead efforts to develop and execute testing, training and related documentation
Requirements

To be successful in this role:
Proven track record of delivery. We are very results-focused.
2-4 years Business Analyst and/or project management experience in a business operations-focused role
6-18 months experience with Salesforce.com in an administrator, tester, or support role
BA/BS in a field such as Business, Finance, Accounting, Computer Science, Engineering
Outstanding organizational, communication, interpersonal, relationship building skills conducive to team development
Expertise managing stakeholders to scope, timelines, and key decisions
Ability to partner and to collaborate with people at all levels - individual system administrators, developers, managers, and executives.
Strong communication and collaboration skills
Prioritize work effectively and coach to optimize overall team results
Experience managing Sales stakeholders and projects is a nice-to-have",4.0,"Pushpay
4.0","Redmond, WA","Redmond, WA",201 to 500 employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Subsplash, Ministry Brands, Smartsheet",39,77,58.0,Pushpay, WA,1,9,1,0,0,0
Business Analyst,$39K-$77K (Glassdoor est.),"Arteriors is a team of smart, imaginative (and sometimes quirky) people who embody loyalty to our customers, our brand and each other. We’ve stripped away the red tape and provide an environment which thrives on new ideas brought into fruition.
The Business Analyst is responsible to ensure the consistent, efficient operation and continuous improvement of all aspects of our businesses through a personal investment in our culture and the energetic, professional delivery of all IT services and support required in a diverse technological ecosystem while demonstrating a commitment to mastering the art of the “work not done.” To land this gig, you'll need a minimum 5+ years’ experience working as a business analyst using/refining the aforementioned skills, a minimum 2+ years’ experience in an IT service oriented role/capacity for an organization of 50+, and a minimum of 1+ year of experience with SQL on MS SQL Server.

You are calm and collected under pressure. You think on your feet while ensuring the best possible level of service.
You are motivated and driven. You appreciate a challenge and thrive in environments that allow you to make decisions that impact the bottom line.
You have a strong sense of time management and can easily prioritize your day with little guidance from others.
You communicate clearly. You write well and can explain just about anything to anyone. You have no problem with communicating in writing and on the phone.
You consider yourself to be a social butterfly. You’ve never met a stranger and can start a conversation with almost anyone.
You believe in personal accountability. You see the value in both, giving and receiving, constructive feedback and you often seek new opportunities to improve and develop your skills.

Medical, dental and vision insurance available the first day of the month after hire date
Open paid time off
9 paid holidays
Early release before holidays
Annual bonus potential
Annual performance review
Paid parental leave
401k with partial matching",3.9,"Arteriors Home
3.9","Carrollton, TX","Carrollton, TX",51 to 200 employees,1987,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,39,77,58.0,Arteriors Home, TX,1,33,0,1,0,0
Strategy & Analytics Analyst,$39K-$77K (Glassdoor est.),"Job Summary
Responsible for researching, analyzing and modeling key markets to drive portfolio growth. This position will communicate identified market opportunities with the broader strategy team based on quantitative and qualitative reasoning and will work closely with senior leadership in support of CSX's long term success. The position will provide sophisticated analytics, research and reporting to drive corporate strategy and enable effective decision-making in a fast paced environment.

Primary Activities and Responsibilities
Conduct market analytics and fundamental research activities such as market sizing, evaluating industry growth and secular drivers as well as supply chain domain knowledge
Evaluate key customer and competitor initiatives through financial modeling.
Develop intelligence to understand CSX's competitive position in specific commercial markets.
Communicate analysis through presentations to senior leadership.
Minimum Qualifications
Bachelor's Degree/4-year Degree
1 or more years of experience in Finance, Accounting, Economics, Business or a related field
Preferred Qualifications
Graduate Degree
Knowledge and Skills
Ability to deliver presentations to senior level audience
Analytical, quantitative and problem solving skills
Strong oral and written communication skills
Microsoft Office
Demonstrated business acumen with the ability to effectively collaborate and communicate with people at all levels in the organization
Leadership
The CSX Leadership Model is the foundation of our Talent Strategy and is what drives CSX performance. CSX accordingly selects and develops talent based on each of the following: producing results, creating change, and inspiring excellence.

Job Requirements
Work hours may vary in length and schedule (may include a non-standard work week)
Safety Commitment
Guided by a policy of ensuring the safety of our employees, our customers and the communities we serve, CSX works relentlessly to prevent accidents and injuries. When a company puts safety first, everyone benefits: the employees and their families, the customers and the communities. In line with our commitment to safety, the applicant selected for this position may be required to successfully complete medical screenings and a background check.

About CSX
CSX, based in Jacksonville, Florida, is a premier transportation company. It provides rail, intermodal and rail-to-truck transload services and solutions to customers across a broad array of markets, including energy, industrial, construction, agricultural, and consumer products. For nearly 190 years, CSX has played a critical role in the nation's economic expansion and industrial development. Its network connects every major metropolitan area in the eastern United States, where nearly two-thirds of the nation's population resides. It also links more than 240 short-line railroads and more than 70 ocean, river and lake ports with major population centers and farming towns alike. More information about CSX Corporation and its subsidiaries is available at www.csx.com. Like us on Facebook and follow us on Twitter.

Closing Statement
At CSX, two of our five Guiding Principles are Valuing and Developing Employees as well as Operating Safely. We are committed to offering our team members the most competitive compensation and benefits package available, unlimited opportunities for development and growth throughout an exciting and rewarding career, and the safest work environment possible.

CSX is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, or protected veteran status and will not be discriminated against on the basis of disability. Click here to view the EEO is Law poster. Click here to view the OFCCP pay transparency provision information.

CSX Transportation and its subsidiaries are not seeking outside assistance or accepting unsolicited resumes from staffing agencies or search firms for employment or contractor opportunities. Any resumes submitted by an outside vendor to any employee at CSX via e-mail, Internet, or directly to hiring managers without a valid written search agreement in place with the Talent Acquisition / HR department will be deemed the sole property of CSX. No placement fee will be paid in the event a candidate is hired as a result of the referral, or through other means.",2.4,"CSX
2.4","Jacksonville, FL","Jacksonville, FL",10000+ employees,1978,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),"Union Pacific, BNSF Railway",39,77,58.0,CSX, FL,1,42,1,0,0,0
Business Systems Analyst,$39K-$77K (Glassdoor est.),"***This position is eligible for 100% work from home option***
Responsible for collaborating with the Product Owners and Stakeholders regarding software requirements and effectively translating the requirements to the delivery team. Works closely with delivery team members to ensure that the Sprint goals are met and that the requirements are implemented efficiently and effectively. Promotes approved agile methodologies.

As an Agile team member, ensures that sprint objectives are completed in a timely manner, consistently achieving team commitments regardless of role or title.
Provides support to business users and to the delivery team by assisting with day to day production activities, as required. Provides support to the delivery teams in testing and implementing solutions.
Participates in Stakeholder requirement gathering meetings with the Product Owner and assists in translating the requirements into common language that can be adopted for the use with Behavior Driven Development (BDD) or Test Driven Development (TDD).
Understands the business processes and the technology platform that enables it.
Follows Agile documentation principles.
Adheres to the establishment of group standards and processes. Participates in the Communities of Practice.
Meets regularly with the Product Owner to develop requirements up to three sprints in advance. Reviews backlog work, as well as immediate work and outstanding issues.
Performs research and analysis of the requirements to determine the system needs to fulfill those requirements.
Participates in industry and other professional networks to ensure awareness of industry standards, trends and best practices in order to strengthen organizational and technical knowledge.

Qualifications/Education/Certifications:
Bachelor's degree from four-year College or university; plus, three to six years of related experience and/or training; or equivalent combination of education and experience.
Knowledge, Skills and Abilities:
Prefer experience in Healthcare, Pharmacy Benefits Management and/or Ancillary Benefits Management, workers’ compensation and/or insurance industry.
Required experience:
Good verbal/written communication and interpersonal skills
Good analytical skills
An understanding of SQL
Preferred
VersionOne
MS SQL Server
Java
Cucumber, Gherkin
Selenium
Eclipse / ItelliJ IDE
Physical Demands/Working Conditions:
Duties are performed primarily in an office setting. Travel to attend meetings and visit locations throughout the country may be required. Operate computer and standard office equipment such as telephone, copier, and printer. While performing the duties of this job, the employee is regularly required to sit and talk or hear. The employee is frequently required to use hands. The employee is occasionally required to stand and walk.
*** Job descriptions will be reviewed and are subject to changes of business necessity. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",3.2,"Healthesystems
3.2",United States,"Tampa, FL",201 to 500 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"PMSI, myMatrixx",39,77,58.0,Healthesystems,United States,0,18,0,1,0,0
IT Business Analyst,$39K-$77K (Glassdoor est.),"IT Business Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158
Uncover your full potential in a collaborative environment where you'll design, develop and deliver custom solutions to big challenges. And you'll be doing it for a proven industry leader that runs one of the largest e-commerce sites in the U.S.
Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Work closely with the business to understand problems and identify the work needed to implement future state solutions.
Document and analyze current state business processes and the underlying systems and applications.
Conduct meetings with stakeholders to gather user requirements.
Write user stories and lead backlog grooming/refinement sessions.
Analyze existing and new software solutions to find the most effective way to meet business needs.
Validate business, functional and technical requirements.
Create product/project backlogs consisting of Epics, Features, User Stories and Tasks.
Produce timely and high-quality work products, including specifications, process flows, mock-ups and wireframes.
Plan and execute System/Functional Testing and User Acceptance Testing.
Minimum Requirements
Bachelor's degree.
4+ years of experience in a Business Analyst or related role.
6+ years of overall IT experience with significant involvement in software development.
Significant experience with both traditional Waterfall SDLC and Agile/Lean methodologies.
Experience with Atlassian/Jira/Confluence and Microsoft TFS a plus.
Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.
Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.
About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-SR1
#CORP",3.1,"Uline
3.1","Pleasant Prairie, WI","Pleasant Prairie, WI",5001 to 10000 employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,"The Home Depot, Foxconn, Amazon",39,77,58.0,Uline, WI,1,40,0,0,0,0
IT Business Analyst,$39K-$77K (Glassdoor est.),"Reporting to the VP of Technology and working closely with Credit Union executives and staff, the IT Business Analyst supports the execution of Fortera’s lending strategy through the administration and management of consumer, commercial, real estate lending and account resolutions systems. This position is the subject matter expert focused on creating and implementing new processes, managing product modifications, and ensuring proper integration exists between all lending and enterprise systems. This role will use independent judgment, tact, and initiative to advise lending management, IT, and vendors.

Essential Functions and Basic Duties
Advises Lending Management on appropriate system functionality and workflows to execute the lending strategy.
Ensures other enterprise-wide platforms and applications (Symitar, etc.) function with the Lending systems to provide efficient business processes that improve productivity.
Consults with vendors and business units on lending application configurations and customizations based on business and procedural requirements; Utilizes strong analytical and product management skills to interpret end-user needs and translate them into application and/or operational requirements.
Supports, optimizes and customizes internal and external business applications; requests customizations from vendors as necessary.
Manages cases, requests and enhancements using online tools and processes; resolves prioritization conflicts and provides a high level of service, adhering to SLAs for response and restoration times.
Ensures that lending applications are fully operational and takes the lead on any loss of service issues, including workaround, resolution, root cause analysis, major incident management.
Manages vendor relationships; ensures vendor accountability, operational effectiveness and project milestone achievement.
Understands and helps enforce change and release management; oversees change request processes including facilitating meetings with lending and technology teams to assist in timely and quality project completion; interfaces with Project Management for utilization of resources and competing project needs; follows Fortera’s Project Management Office process.
Creates and updates documentation for all modifications and projects, including project reports, workflow diagrams, and/or end user training materials.
Assists with and oversees report creation and report definition and creating report specifications as needed.
Applies generally accepted programming standards and techniques to assure efficient program logic and data manipulation.
Works with Fortera Compliance and Audit teams to ensure adherence to Lending best practices. and monitors compliance and regulatory changes that may impact lending processes.
Ensures adherence to consistent processes, standards, and total quality practices.
Provides support to Technology Helpdesk as needed.
Participates in On Call rotation.
Proactively communicates project status, issues and risks to management.
Follows departmental policies, procedures and methodologies
Assists other departments on their individual projects.
Satisfactorily completes all required compliance training an complies with all regulations which apply within the scope of the position to include Bank Secrecy Act compliance.
Attends and participates in all meetings, training, and committees as required.
Participates in the community and civic events to promote awareness of the Credit Union in the community.
Performs other duties as assigned.
Ensures work area is clean, secure, and well-maintained.

Performance Measurements
Demonstrates working knowledge of loan origination and processing practices in real estate lending; consumer lending, and account resolutions.
Illustrates excellent problem solving and analytical skills to troubleshoot and resolve technical issues.
Proven experience researching, compiling, and performing in-depth analysis on critical operational data to provide recommendations;
Processes, documents, records, reports and files accurately and promptly.
Exceptional interpersonal/customer service/team building skills including the ability to communicate with all levels of the organization and participate on multi-functional teams;
Ability to work at a detailed level while maintaining an overall project perspective;
Management is appropriately informed of area activities.
Fortera’s Core Values are successfully demonstrated.
Special Note: Fortera Federal Credit Union is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.

Required Skills

Accurately assesses cultural environment, exhibiting emotional intelligence and appropriate sensitivity while maintaining individuality and authenticity.
Good oral, written and interpersonal skills.
Able to collaborate effectively within, as well as outside of, the Technology Department.
Cooperative and willing to assist others.
Proficiency in Microsoft Project, Excel, Word, Powerpoint, and Visio and MS Office 365 Application Suite.
Exceptional organizational skills. Attentive to detail.
Able to conduct effective business analysis.
Good critical thinking skills.
Comfortable leading meetings with good presentation skills.
Professional appearance, dress, and attitude
Ability to work well under pressure while always promoting a professional image the of Credit Union
Able to meet deadlines and maintain an effective and efficient workflow.
Regular and predictable attendance.
Physical Activities and Requirements

Finger Dexterity:
Using primarily just the fingers to make small movements such as typing, picking up small objects, or pinching fingers together.
Reaching:
Extending hand(s) and arm(s) in any direction.
Talking:
Especially where one must frequently convey detailed or important instructions or ideas accurately, loudly, or quickly.
Average Hearing:
Able to hear average or normal conversations and receive ordinary information.
Repetitive Motion:
Movements frequently and regularly required using the wrists, hands, and/or fingers.
Average Visual Abilities:
Average, ordinary, visual acuity necessary to prepare or inspect documents or products or operate machinery.
Physical Strength:
Sedentary work; sitting most of the time. Exerts up to 10 lbs. of force occasionally. (Almost all office jobs.)

Working Conditions

None:
No hazardous or significantly unpleasant conditions (such as in a typical office).

Mental Activities and Requirements

Reasoning Ability:
Ability to apply common sense understanding to carry out detailed but uninvolved instructions and to deal with problems involving a few variables.
Mathematics Ability:
Ability to perform basic math skills and to use decimals to compute ratios and percentages, and to draw and interpret graphs.
Language Ability:
Ability to use passive vocabulary of 5-6,000 words; to read at a slow rate; define unfamiliar words in dictionaries for meaning, spelling, and pronunciation.
Ability to write complex sentences, using proper punctuation, and using adjectives and adverbs.
Ability to communicate in complex sentences; using normal word order with present and past tenses; using a good vocabulary.
Required Experience

Education/Certification:
Bachelor's degree in Business Administration, Computer Science, Management, or related field, or an equivalent combination of education and experience.
Microsoft, SQL Server, or other professional IT certifications preferred.

Experience preferred:
Minimum one year of computer related experience.
Two or more years in financial service with a background focused in lending (origination, processing, servicing).
Three or more years of experience administering and supporting a loan origination platform;
Thorough understanding of the loan origination process, preferably real estate lending origination.
Thorough understanding and knowledge of regulatory lending compliance.
Knowledge of these systems preferred: Jack Henry Symitar Episys, CRIF ACTion, MeridianLink Loans PQ, Finastra MortgageBot, Servicing Director, and Temenos Akcelerant.
Working knowledge of SQL programming and SQL Server Reporting Services (SSRS)
Project Management experience highly preferred.
Jira or Confluence experience a plus.
Job Location
Clarksville, US-TN",4.2,"Fortera Federal Credit Union
4.2","Clarksville, TN","Clarksville, TN",51 to 200 employees,1954,Company - Private,Banks & Credit Unions,Finance,$500 million to $1 billion (USD),-1,39,77,58.0,Fortera Federal Credit Union, TN,1,66,1,1,0,0
"Analyst, Asset Management",$39K-$77K (Glassdoor est.),"n/a

JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement.

For additional details please see our career site pages for each country.

For employees in the United States, please see a full copy of our Equal Employment Opportunity and Affirmative Action policy here.

Pursuant to Illinois Law, applicants are not obligated to disclose sealed or expunged records of conviction or arrest.

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com. This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.",3.9,"LaSalle Investment
3.9","Chicago, IL","Chicago, IL",501 to 1000 employees,1980,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),-1,39,77,58.0,LaSalle Investment, IL,1,40,0,0,0,0
Business Analyst,$39K-$77K (Glassdoor est.),"Role:
Responsible for planning and designing efficient business, financial, and operational systems in support of organizational functions and business processes. Gather and analyze data in support of business cases, proposed projects, and systems requirements. Apply proven communication, analytical, and project management skills to maximize the benefit of systems. Provide ongoing support to all relevant systems, processes, and functional areas.

Knowledge & Skills:
Three years to five years of similar or related experience. Well rounded Financial Services Services Industry experience. Formalized project management experience.
Equivalent to a college degree (BS or BA in a relevant field)
A high degree of attention to detail, project planning skills. A high degree of experience and skill working with computer and information systems. Knowledge of structured computer programming/coding languages, Adobe Professional .pdf forms, Symitar Episys PowerOn programming platform, .ASP, .NET, Java, C/C#/C++, SQL, etc. Ability to think orderly, logically, and analytically and apply strong problem solving skills.",4.4,"Mobiloil Federal Credit Union
4.4","Beaumont, TX","Beaumont, TX",201 to 500 employees,-1,Company - Public,Banks & Credit Unions,Finance,$500 million to $1 billion (USD),-1,39,77,58.0,Mobiloil Federal Credit Union, TX,1,-1,0,1,0,0
Business Analyst II/Sr. Business Analyst,$39K-$77K (Glassdoor est.),"Position Summary:

Provides a broad range of services and activities that align
analytical support with business initiatives and strategic goals. May include database input and management;
supporting data analysis and creation of dashboards and operations metrics reports;
and budget data input, management, and reporting. May conduct/coordinate internal improvement
efforts and implementation plans; may either directly or indirectly lead small-
to medium- size teams in these efforts. May
support District-wide compliance monitoring and training. Conducts/coordinates the information flow
among business line stakeholders to achieve desired outcomes.

Key Responsibilities

Completes
a range of analytical activities and exercises sound judgement to address
problems or projects. Analyzes problems
with appropriate logic and fact finding. Identifies irregularities or issues in
work activities before major problems appear; organizes data and information in
a manner that effectively communicates issues and underlying cause/effect
relationships; performs intermediate level research and analysis; makes
reliable conclusions from the analysis of available data details and/or trends and
develops sound recommendations.Proactively
identifies process improvement opportunities and brings them to management’s
attention.

May support District compliance activities such as peer
reviews/post-audit reviews and update Cash governing documentation such as procedure
manual(s), COP documentation, and management audits, both annually and as
needed.

Strong teamwork and customer service orientation; Draws on
experience to resolve moderately complex issues. Adheres to team guidelines and
fulfills own responsibilities to accomplish team goals. Engages with team, all
levels of management, and other stakeholders to collect feedback and input and
complete work activities.

Identifies
critical activities and adjust priorities to prevent irrelevant issues and
distractions from inhibiting completion of assignments. Prioritizes work
assignment to ensure the most important work is completed first; coordinates
work with others in group projects to support overall work plans and schedules.
Brings competing priorities or issues to management’s attention for resolution.

Where applicable, provides
support for production systems, such as maintaining daily processes,
identifying problems, proposing alternatives, providing business application
releases and customer testing.

Produces written products
that are clear, concise, grammatically correct and in a tone and format
befitting the message, audience and objective of the writer. Verbally expresses
thoughts and opinions to others in a clear and concise manner.

The Senior job title will require the following, higher
level skills:

Strong
level of initiative and business acumen, advanced problem-solving skills, and
ability to analyze moderately complex data sets and identify areas of
improvement in support of an overall “big picture” strategy.

Leads
efforts to resolve issues/problems of moderate to complex scope, in which
analysis of situations or data require a review of a variety of factors. Works on moderate to complex issues where
analysis of situations and data requires an in-depth evaluation
of factors. Normally receives little
instruction on day-to-day work and general instructions on new assignments.
Demonstrates flexibility to make adjustments as needed.

Will be expected to acquire a robust
understanding of core business functions within the department. Applies knowledge of and experience with team
products, services and customers to efficiently and effectively document
existing workflows and create new processes.

Strong
oral and written communication skills. May lead or assist in presentation or facilitation
of effective training sessions/project updates/general communication to all
levels of staff, management and senior management.

May serve as a mentor to less-experienced
staff for guidance on new projects or assignments. May lead high-performing
teams, projects, or implementation plans for small- to medium-sized teams
focused on meeting organizational objectives. Some exposure to District or
System-level committees.

Education
Bachelor's Degree or 4 years equivalent experience; Bachelor's Degree preferred
Experience:
Two to Five years preferred for BA II; 5-8 years for Sr BA
Knowledge Area/Technical Skills/Certifications and Licenses:
Data Mining and Visualization (Tableau/Power BI)
Customer Service
Department Knowledge (processes, procedures, operations, etc.)
Advanced Knowledge of Excel, Access, Word and PowerPoint
Project Management for Sr. BA


Individual Competencies
Demonstrates Self-Awareness
Problem Solving
Action-Oriented
Collaborates
Communicates Effectively
This is not necessarily an exhaustive list of all responsibilities, duties, performance standards or requirements, efforts, skills or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed when circumstances change (e.g. emergencies, rush jobs, change in workload or technological developments).

The Federal Reserve Bank of Atlanta is an equal opportunity employer.",4.0,"Federal Reserve Bank of Atlanta
4.0","New Orleans, LA","Atlanta, GA",1001 to 5000 employees,1914,Government,Banks & Credit Unions,Finance,$5 to $10 billion (USD),-1,39,77,58.0,Federal Reserve Bank of Atlanta, LA,0,106,1,0,0,1
Business Analyst,$39K-$77K (Glassdoor est.),"Job Id:
21795

Title:
Business Analyst

Job Type:
Permanent

Location:
Minneapolis MN

Description:
Solutia Consulting, Inc.® is a national IT consulting firm with offices in the Twin Cities, Dallas, Austin and Seattle. We are currently looking to add consultants to our Minneapolis team.

We are a unique organization, which is built on best practices and philosophies of small companies, Big 4 Consulting firms and leading corporations. We focus on delivering innovative services to solve our clients’ business needs and also understanding the career interests of our employees to ensure we’re matching assignments that fit their career interests. Solutia looks for employees that want to grow their careers as consultants but also be part of a dynamic team and growing organization.

A Business Analyst is responsible for analyzing and modeling existing business processes. The goal of business process analysis is to understand and document current business procedures and identify areas for improvement. A thorough understanding of the current state of the organization is necessary prior to recommending changes related to implementing a new business solution. This person understands business and ensures that there is integration between business and technology.

The successful candidate will prepare and conduct business process analysis, document and present analysis and modeling results, and transfer knowledge to business users, developers and project managers.

This position presents a unique opportunity to work and learn in a diverse and talented environment that rewards innovation and provides exceptional career growth.

Responsibilities include:

• Stakeholder definition.
• Participate in defining the approaches and priorities for satisfying client needs.
• Participate in business and systems planning for integrated analytic and information technology needs.
• Elicit Requirements using variety of methods including interviews, focus groups, surveys, brainstorming, observation, etc.
• Diagnose process improvement opportunities and develop solutions using principles of process excellence and related tools.
• Document requirements clearly and cohesively such that a variety of audiences both technical and non-technical may comprehend them.
• Translate business requirements into functional and non-functional feature specifications including ability to quantify / qualify the degree to which a feature addresses the desired business outcomes.
• Document functional and non-functional feature specifications using a variety of methods including user stories, use cases, UML diagrams, and workflow diagrams.
• Manage requirements and functional and non-functional feature specifications according to best practice standards and client facing accepted versioning strategy.
• Create and support client-facing presentations to enable solution development, use case development, any additional client education and engagement materials as needed.
• Create, maintain and communicate status reporting to internal and external stakeholders.
• Coordinate business issue resolution through-out the project life cycle.
• Produce phase-end documentation for the business analysis phase.
• Act as champion and Voice of the Customer representing the stakeholders within the project.
• Act as a communication bridge between the technical and business domains of a project.

Required Experience and Education:

• 3+ years’ experience in business analysis techniques and business rule(s) definition
• 4 year college degree from an accredited college or university
• SQL experience
• Business Acumen - demonstrating the ability to enter a new business domain and immediately understand the forces that drive business performance and profitability.
• Visual Modeling experience with processes, complex systems, software models, user interface / user experience
• Ability to interface effectively and build relationships with all levels and across organizational lines, including C-Level executives and business units
• Demonstrated excellence in, time and project management, problem solving, organization, and analysis skills
• Respond quickly to and effectively manage priorities for project requests, deliverables and deadlines
• Ability to effectively utilize external vendors and resources throughout the organization
• Must be self-motivated, well organized and have strong innovation and facilitation skills
• Work both independently and as part of a team to complete identified project objectives
• Passionate about client satisfaction
• Excellent work ethic, high attention to detail
• Ability to Learn / Intellectual Curiosity
• Be flexible and work comfortably in dynamic settings
• Must be legally authorized to work in country of employment without sponsorship for employment visa status (e.g., H1B status)

LOCAL CANDIDATES ONLY

If you are looking for a way to growth your experience and develop strong network, you should consider a career in consulting.

In addition to competitive compensation, benefits and incentive programs, we believe there are some excellent reasons for you to consider employment with Solutia. We welcome your inquiry and look forward to sharing more about Solutia Consulting with you.

Solutia Consulting, Inc. ® is an AA/EEO employer in MN.",4.9,"Solutia Consulting
4.9","Minneapolis, MN","Stillwater, MN",1 to 50 employees,1997,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),Horizontal,39,77,58.0,Solutia Consulting, MN,0,23,1,1,0,0
